image_name,cell_index,move_number,side,row,column,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,detection_bbox_x_min,detection_bbox_y_min,detection_bbox_x_max,detection_bbox_y_max,ink_ratio,detected_non_empty,after_cutoff,saved,reject_reason,file_name
012_0.png,1,1,white,0,0,11,30,352,74,106,38,338,66,0.032690,True,False,True,,012_0_cell_001_move_01_white.png
012_0.png,2,1,black,0,1,354,27,693,73,368,35,679,65,0.088859,True,False,True,,012_0_cell_002_move_01_black.png
012_0.png,3,2,white,1,0,12,76,353,133,107,86,339,123,0.091028,True,False,True,,012_0_cell_003_move_02_white.png
012_0.png,4,2,black,1,1,355,73,693,131,369,83,679,121,0.058227,True,False,True,,012_0_cell_004_move_02_black.png
012_0.png,5,3,white,2,0,14,135,353,191,109,145,339,181,0.052945,True,False,True,,012_0_cell_005_move_03_white.png
012_0.png,6,3,black,2,1,355,131,693,189,369,141,679,179,0.060503,True,False,True,,012_0_cell_006_move_03_black.png
012_0.png,7,4,white,3,0,15,192,354,246,110,202,340,236,0.130260,True,False,True,,012_0_cell_007_move_04_white.png
012_0.png,8,4,black,3,1,356,188,693,244,369,198,680,234,0.053147,True,False,True,,012_0_cell_008_move_04_black.png
012_0.png,9,5,white,4,0,15,249,355,306,110,259,341,296,0.102070,True,False,True,,012_0_cell_009_move_05_white.png
012_0.png,10,5,black,4,1,356,243,693,304,369,254,680,293,0.163784,True,False,True,,012_0_cell_010_move_05_black.png
012_0.png,11,6,white,5,0,16,307,355,362,111,317,341,352,0.025648,True,False,True,,012_0_cell_011_move_06_white.png
012_0.png,12,6,black,5,1,356,303,693,359,369,313,680,349,0.061638,True,False,True,,012_0_cell_012_move_06_black.png
012_0.png,13,7,white,6,0,17,364,356,418,112,374,342,408,0.040643,True,False,True,,012_0_cell_013_move_07_white.png
012_0.png,14,7,black,6,1,356,358,693,415,369,368,680,405,0.027195,True,False,True,,012_0_cell_014_move_07_black.png
012_0.png,15,8,white,7,0,18,419,356,477,113,429,342,467,0.090991,True,False,True,,012_0_cell_015_move_08_white.png
012_0.png,16,8,black,7,1,356,414,693,473,369,425,680,462,0.071678,True,False,True,,012_0_cell_016_move_08_black.png
012_0.png,17,9,white,8,0,18,477,356,530,113,487,342,520,0.030952,True,False,True,,012_0_cell_017_move_09_white.png
012_0.png,18,9,black,8,1,357,472,693,526,370,482,680,516,0.062945,True,False,True,,012_0_cell_018_move_09_black.png
012_0.png,19,10,white,9,0,18,530,356,587,113,540,342,577,0.077778,True,False,True,,012_0_cell_019_move_10_white.png
012_0.png,20,10,black,9,1,358,525,693,582,371,535,680,572,0.096538,True,False,True,,012_0_cell_020_move_10_black.png
012_0.png,21,11,white,10,0,18,586,356,643,113,596,342,633,0.085979,True,False,True,,012_0_cell_021_move_11_white.png
012_0.png,22,11,black,10,1,358,581,693,638,371,591,680,628,0.048807,True,False,True,,012_0_cell_022_move_11_black.png
012_0.png,23,12,white,11,0,18,642,357,700,113,652,343,690,0.088126,True,False,True,,012_0_cell_023_move_12_white.png
012_0.png,24,12,black,11,1,358,637,693,695,371,647,680,685,0.038828,True,False,True,,012_0_cell_024_move_12_black.png
012_0.png,25,13,white,12,0,18,699,357,755,113,709,343,745,0.101963,True,False,True,,012_0_cell_025_move_13_white.png
012_0.png,26,13,black,12,1,359,696,694,750,372,706,681,740,0.068822,True,False,True,,012_0_cell_026_move_13_black.png
012_0.png,27,14,white,13,0,18,754,357,811,113,764,343,801,0.077014,True,False,True,,012_0_cell_027_move_14_white.png
012_0.png,28,14,black,13,1,359,749,693,806,372,759,680,796,0.044660,True,False,True,,012_0_cell_028_move_14_black.png
012_0.png,29,15,white,14,0,19,810,357,868,114,820,343,858,0.051351,True,False,True,,012_0_cell_029_move_15_white.png
012_0.png,30,15,black,14,1,359,804,693,862,372,814,680,852,0.043453,True,False,True,,012_0_cell_030_move_15_black.png
012_0.png,31,16,white,15,0,19,866,357,924,114,876,343,914,0.088674,True,False,True,,012_0_cell_031_move_16_white.png
012_0.png,32,16,black,15,1,359,865,694,917,372,874,681,908,0.087921,True,False,True,,012_0_cell_032_move_16_black.png
012_0.png,33,17,white,16,0,18,921,357,979,113,931,343,969,0.132830,True,False,True,,012_0_cell_033_move_17_white.png
012_0.png,34,17,black,16,1,359,916,693,972,372,926,680,962,0.093387,True,False,True,,012_0_cell_034_move_17_black.png
012_0.png,35,18,white,17,0,18,977,357,1035,113,987,343,1025,0.136544,True,False,True,,012_0_cell_035_move_18_white.png
012_0.png,36,18,black,17,1,359,971,693,1028,372,981,680,1018,0.086180,True,False,True,,012_0_cell_036_move_18_black.png
012_0.png,37,19,white,18,0,18,1032,357,1092,113,1043,343,1081,0.100423,True,False,True,,012_0_cell_037_move_19_white.png
012_0.png,38,19,black,18,1,359,1027,693,1084,372,1037,680,1074,0.106105,True,False,True,,012_0_cell_038_move_19_black.png
012_0.png,39,20,white,19,0,18,1088,357,1147,113,1099,343,1136,0.122433,True,False,True,,012_0_cell_039_move_20_white.png
012_0.png,40,20,black,19,1,358,1082,693,1139,371,1092,680,1129,0.103873,True,False,True,,012_0_cell_040_move_20_black.png
012_0.png,41,21,white,20,0,17,1144,357,1205,112,1155,343,1194,0.085154,True,False,True,,012_0_cell_041_move_21_white.png
012_0.png,42,21,black,20,1,358,1137,693,1196,371,1148,680,1185,0.086659,True,False,True,,012_0_cell_042_move_21_black.png
012_0.png,43,22,white,21,0,17,1201,356,1261,112,1212,342,1250,0.082106,True,False,True,,012_0_cell_043_move_22_white.png
012_0.png,44,22,black,21,1,358,1194,693,1252,371,1204,680,1242,0.027884,True,False,True,,012_0_cell_044_move_22_black.png
